TEST
a.118.21
f.23.41
d.74.5
a.108.1
f.26.1
c.58.1
a.240.1
g.3.16
d.78.1
c.7.1
a.5.6
a.64.1
d.377.1
a.23.6
b.97.1
a.100.1.
d.380.1
d.68.5
g.3.8
a.48.1
d.232.1
e.29.1
d.192.1
d.130.1
b.67.1
d.218.1
g.13.1
d.276.1
b.110.1
b.82.1
d.110.7
d.170.2
d.113.1
b.177.1
a.53.1
f.23.17
d.15.1.
d.58.36
c.118.1
d.353.1
a.23.2
a.56.1
d.271.1
a.6.1
c.22.1
g.5.1
d.102.1
b.40.2
d.109.1
d.211.1
b.69.10
a.8.6
d.110.3
g.3.17
d.390.1
a.229.1
a.156.1
c.42.1
g.41.17
b.69.6
a.2.3
b.7.1
f.55.1
b.48.1
a.2.15
d.13.1
b.102.1
d.10.1
b.1.22
b.61.2
d.178.1
d.248.1
b.1.30
d.337.1
a.160.1
d.147.1
c.146.1
f.23.25
f.49.1
a.246.1
d.41.2
a.24.19
a.4.5.
b.69.7
a.34.1
d.60.1
a.35.1.
c.83.1
d.129.5
d.58.4.
b.34.13
c.8.3
d.58.1
d.15.11
b.77.3
b.72.1
d.35.1
c.8.7
a.65.1
a.137.15
a.25.5
b.85.5
d.230.3
f.31.1
g.95.1
b.11.1
b.26.1
a.171.1
c.23.14
d.68.4
a.292.1
d.58.16
g.3.1
d.110.9
a.24.11
b.120.1
d.372.1
a.34.3
c.147.1
c.8.10
b.91.1
c.1.3
c.31.1
b.68.5
a.144.1
d.15.10
d.230.4
b.55.2
d.39.1
b.34.10
d.58.18
f.14.1
a.24.14
a.33.1
b.6.1
a.23.3
d.98.1
a.169.1
g.88.1
g.3.11
e.60.1
e.75.1
d.88.1
a.137.12
a.30.1
c.62.1
b.171.1
a.211.1
c.92.1
d.58.29
e.76.1
d.292.1
c.56.8
b.69.5
b.172.1
b.38.4
d.259.1
d.159.1.
b.54.1
d.76.2
d.129.11
d.108.1.
a.29.8
b.80.7
d.71.1
b.40.11
d.198.4
f.36.1
a.24.1
c.1.9
b.82.7
c.55.1
d.168.1
b.69.11
b.40.7
a.4.1.
a.72.1
d.335.1
b.1.1
d.48.1
c.8.5
d.244.1
a.246.2
a.163.1
g.3.5
a.5.2
b.23.1
a.30.7
b.4.1
d.254.1
d.79.1
a.7.2
f.63.1
a.139.1
g.41.15
f.23.40
a.300.1
a.24.28
g.48.1
d.253.1
d.347.1
d.166.1
d.373.1
d.238.1
c.55.6
b.33.1
c.142.1
d.79.4
f.53.1
d.370.1
b.34.12
e.77.1
b.1.15
a.61.1
a.175.1
d.153.1
a.5.8
a.70.2
b.28.1
a.8.9
b.55.3
a.68.1
f.17.5
b.44.2
d.17.7
b.30.5.
d.219.1
d.322.1
d.41.5
a.149.1
e.74.1
d.202.1
a.78.1
g.78.1
d.304.1
d.133.1
e.44.1
d.93.1
d.181.1
a.29.3
c.125.1
d.345.1
b.107.1
a.34.2
b.34.14
f.23.31
a.39.2
a.217.1
g.100.1
b.46.1
a.30.6
d.313.1
e.39.1
d.379.1
d.14.1.
d.25.1
a.79.1
a.98.1
b.157.1
a.228.1
a.60.9
d.214.1
b.147.1
a.43.1
c.1.5
d.208.1
c.8.6
d.61.1
c.25.1
b.64.1
a.7.3
a.159.5
a.8.5
b.119.1
f.5.1
b.1.18.
b.40.1
f.9.1
g.3.6
e.24.1
d.64.1
c.41.1
c.52.2
b.27.1
a.95.1
a.29.9
d.95.2
a.104.1
a.209.1
a.146.1
g.99.1
e.61.1
b.18.1
d.17.3
c.47.2
g.2.2
b.76.2
a.195.1
a.118.24
b.42.6
d.67.2
d.66.1
a.215.1
d.194.1
b.71.1
d.363.1
f.56.1
g.101.1
d.139.1
a.118.4
d.190.1
g.73.1
a.60.7
g.3.10
a.2.12
g.42.1
d.116.1
d.365.1
b.143.1
